N=7, J=0.000; Res=1
N=7, J=0.001; Res=1
N=7, J=0.002; Res=1
N=7, J=0.003; Res=1
N=7, J=0.004; Res=1
N=7, J=0.005; Res=1
N=7, J=0.006; Res=1
N=7, J=0.007; Res=1
N=7, J=0.008; Res=1
N=7, J=0.009; Res=1
N=7, J=0.010; Res=1
N=7, J=0.011; Res=1
N=7, J=0.012; Res=1
N=7, J=0.013; Res=1
N=7, J=0.014; Res=1
N=7, J=0.015; Res=1
N=7, J=0.016; Res=1
N=7, J=0.017; Res=1
N=7, J=0.018; Res=1
N=7, J=0.019; Res=1
N=7, J=0.020; Res=2
N=9, J=0.000; Res=1
N=9, J=0.001; Res=1
N=9, J=0.002; Res=1
N=9, J=0.003; Res=1
N=9, J=0.004; Res=1
N=9, J=0.005; Res=1
N=9, J=0.006; Res=1
N=9, J=0.007; Res=1
N=9, J=0.008; Res=1
N=9, J=0.009; Res=1
N=9, J=0.010; Res=1
N=9, J=0.011; Res=1
N=9, J=0.012; Res=1
N=9, J=0.013; Res=1
N=9, J=0.014; Res=1
N=9, J=0.015; Res=2
N=9, J=0.016; Res=2
N=9, J=0.017; Res=2
N=9, J=0.018; Res=2
N=9, J=0.019; Res=2
N=9, J=0.020; Res=2
N=11, J=0.000; Res=1
N=11, J=0.001; Res=1
N=11, J=0.002; Res=1
N=11, J=0.003; Res=1
N=11, J=0.004; Res=1
N=11, J=0.005; Res=1
N=11, J=0.006; Res=1
N=11, J=0.007; Res=1
N=11, J=0.008; Res=1
N=11, J=0.009; Res=1
N=11, J=0.010; Res=1
N=11, J=0.011; Res=2
N=11, J=0.012; Res=2
N=11, J=0.013; Res=2
N=11, J=0.014; Res=2
N=11, J=0.015; Res=2
N=11, J=0.016; Res=2
N=11, J=0.017; Res=2
N=11, J=0.018; Res=2
N=11, J=0.019; Res=2
N=11, J=0.020; Res=2
N=13, J=0.000; Res=1
N=13, J=0.001; Res=1
N=13, J=0.002; Res=1
N=13, J=0.003; Res=1
N=13, J=0.004; Res=1
N=13, J=0.005; Res=1
N=13, J=0.006; Res=1
N=13, J=0.007; Res=1
N=13, J=0.008; Res=3
N=13, J=0.009; Res=2
N=13, J=0.010; Res=2
N=13, J=0.011; Res=2
N=13, J=0.012; Res=2
N=13, J=0.013; Res=2
N=13, J=0.014; Res=2
N=13, J=0.015; Res=2
N=13, J=0.016; Res=2
N=13, J=0.017; Res=2
N=13, J=0.018; Res=2
N=13, J=0.019; Res=2
N=13, J=0.020; Res=2
N=14, J=0.018; Res=2
N=14, J=0.019; Res=2
N=14, J=0.020; Res=2
N=15, J=0.000; Res=1
N=15, J=0.001; Res=1
N=15, J=0.002; Res=1
N=15, J=0.003; Res=1
N=15, J=0.004; Res=1
N=15, J=0.005; Res=1
N=15, J=0.006; Res=3
N=15, J=0.007; Res=2
N=15, J=0.008; Res=2
N=15, J=0.009; Res=2
N=15, J=0.010; Res=2
N=15, J=0.011; Res=2
N=15, J=0.012; Res=2
N=15, J=0.013; Res=2
N=15, J=0.014; Res=2
N=15, J=0.015; Res=2
N=15, J=0.016; Res=2
N=15, J=0.017; Res=2
N=15, J=0.018; Res=2
N=15, J=0.019; Res=2
N=15, J=0.020; Res=2
N=16, J=0.012; Res=2
N=16, J=0.013; Res=2
